genename,Test_Os1,Test_Os2,Test_Os3,Test_Ch1,Test_Ch2,Test_Ch3,Test_Ad1,Test_Ad2,Test_Ad3,Test_MSC1,Test_MSC2,Test_MSC3
AL353795.1,0,0,0,2,0,0,0,1,0,0,0,0
AL353795.2,0,0,0,0,0,0,0,0,0,0,1,0
AL353795.3,0,0,0,38,20,5,0,0,6,0,32,2
AL353796.1,25,0,0,14,6,28,0,1,21,0,42,17
AL353801.1,0,0,0,2,0,0,0,0,0,0,0,0
AL353801.2,0,0,0,0,0,0,0,0,0,0,0,0
AL353801.3,0,0,0,0,0,0,0,0,2,0,0,0
AL353803.1,0,0,0,5,0,0,0,0,0,0,0,0
AL353803.2,0,0,0,0,0,0,0,0,0,0,2,0
AL353803.3,0,0,0,0,0,0,0,0,0,0,0,0
AL353803.4,0,0,0,19,0,0,0,8,0,0,1,1
AL353803.5,0,0,0,4,0,0,0,0,0,0,0,0
AL353804.1,3,0,0,7,0,37,0,0,3,0,16,5
AL353804.2,0,0,0,0,0,0,0,0,0,0,13,0
AL353807.1,0,0,0,0,0,0,0,0,0,0,0,0
AL353807.2,0,0,0,0,0,0,0,0,0,0,0,0
AL353807.3,0,2,0,44,14,11,0,17,9,0,12,7
AL353807.4,0,0,0,0,0,0,0,0,4,0,0,1
AL353807.5,31,3,0,0,10,23,2,34,25,0,51,102
AL353811.1,0,0,0,6,0,0,0,0,0,0,0,0
AL353898.1,0,0,0,0,0,13,0,0,0,0,0,0
AL353898.3,0,0,0,4,0,0,0,0,5,0,3,2
AL353899.1,0,0,0,0,0,0,0,0,0,0,0,0
AL353997.2,0,0,0,3,12,0,0,0,0,0,0,0
AL354674.1,0,0,0,0,0,0,0,0,0,0,0,0
AL354676.1,0,0,0,0,0,0,0,0,0,0,0,0
AL354685.1,0,0,0,0,0,1,0,0,0,0,0,0
AL354685.2,0,0,0,2,0,0,0,0,0,0,0,0
AL354692.1,0,0,0,0,0,0,0,0,0,0,0,0
AL354694.1,0,0,0,1,0,0,0,0,2,0,2,0
AL354695.1,0,0,0,1,0,0,0,0,0,0,0,0
AL354696.1,0,0,0,1,5,0,0,0,1,0,4,1
AL354696.2,0,0,0,12,79,1,0,6,10,0,11,7
AL354702.1,0,0,0,0,0,0,0,0,0,0,0,0
AL354707.1,0,0,0,5,8,0,0,2,0,0,4,2
AL354707.2,0,0,0,0,0,0,0,0,0,0,0,0
AL354710.1,0,0,0,6,7,2,0,0,0,0,5,0
AL354710.2,0,0,1,1,0,6,1,0,0,0,0,0
AL354713.1,0,0,0,0,0,0,0,0,0,0,0,0
AL354714.1,0,0,0,0,0,8,0,0,0,0,0,0
AL354714.2,1,0,0,9,6,8,1,2,0,0,6,1
AL354714.3,0,0,0,0,0,0,0,0,0,0,0,0
AL354714.4,0,0,0,0,0,0,0,0,0,0,0,0
AL354718.1,0,0,0,14,11,0,0,5,20,0,51,29
AL354718.2,0,0,0,0,0,0,0,0,0,0,0,0
AL354718.3,0,0,0,0,0,0,0,0,2,0,0,2
AL354719.1,0,0,0,0,0,0,0,0,0,0,0,0
AL354726.1,0,0,0,3,0,0,0,0,0,0,3,2
AL354733.1,0,0,0,1,0,0,0,0,0,0,0,0
AL354733.2,0,0,0,5,3,17,0,0,4,0,18,3
AL354733.3,0,0,0,0,0,0,0,2,4,0,11,3
AL354740.1,0,2,0,3,0,0,0,0,1,0,4,37
AL354741.1,0,0,0,0,0,0,0,0,0,0,0,0
AL354743.1,0,0,0,27,1,0,0,2,7,0,97,65
AL354743.2,0,0,0,2,4,0,0,0,0,0,8,11
AL354751.1,0,0,0,0,0,0,1,0,1,0,1,5
AL354751.2,0,0,0,0,1,38,0,0,0,0,0,0
AL354751.3,0,0,0,0,24,0,0,0,0,0,0,0
AL354754.1,0,0,0,0,0,0,0,0,0,0,0,0
AL354760.1,0,0,0,1,11,0,0,0,3,0,1,1
AL354761.1,0,0,0,0,8,0,0,0,0,0,0,0
AL354766.1,0,0,0,0,0,0,0,0,0,0,0,0
AL354766.2,0,0,0,2,1,6,0,0,2,0,0,0
AL354771.1,0,0,0,0,0,0,0,0,0,0,0,0
AL354793.1,0,0,0,0,0,0,0,0,1,0,0,0
AL354794.1,0,0,0,1,0,0,0,0,0,0,0,0
AL354794.2,0,0,0,0,0,22,0,0,1,0,0,0
AL354796.1,0,0,0,5,0,7,0,0,0,0,0,0
AL354797.1,0,0,0,0,0,7,0,0,0,0,0,0
AL354798.1,0,0,0,0,0,0,0,0,0,0,0,0
AL354809.1,0,0,0,44,16,0,0,0,2,0,3,2
AL354810.1,0,0,0,0,0,0,0,0,0,0,0,0
AL354811.1,0,0,0,12,0,0,1,22,6,0,8,3
AL354811.2,0,0,0,0,0,0,0,0,0,0,0,0
AL354813.1,0,0,0,0,0,4,0,0,3,0,4,1
AL354821.1,0,0,0,0,0,0,0,0,0,0,0,0
AL354822.1,0,0,0,18,2,16,0,2,86,0,23,62
AL354824.1,0,0,0,0,0,0,0,0,1,0,2,2
AL354824.2,0,0,0,5,0,0,0,0,1,0,1,0
AL354833.1,0,0,0,6,20,10,0,2,1,0,13,5
AL354833.2,0,0,0,0,0,0,0,0,0,0,0,0
AL354836.1,0,0,0,2,0,0,0,0,3,0,0,6
AL354854.1,0,0,0,0,0,0,0,0,0,0,0,0
AL354855.1,0,0,0,2,0,0,0,0,0,0,0,3
AL354861.1,0,0,0,0,0,0,0,0,0,0,3,0
AL354861.2,0,0,0,0,0,0,0,0,0,0,0,0
AL354861.3,0,0,0,4,5,0,0,0,2,0,2,1
AL354863.1,0,0,0,2,13,0,0,0,0,0,0,0
AL354864.1,0,0,0,2,0,0,0,0,0,0,1,0
AL354868.1,0,0,0,0,0,0,0,0,0,0,0,0
AL354872.1,0,0,0,0,8,0,0,1,4,0,1,1
AL354872.2,0,0,0,0,0,0,0,0,0,0,1,0
AL354877.1,0,0,0,0,0,0,0,0,1,0,0,2
AL354890.1,0,0,0,1,2,0,0,0,1,0,6,0
AL354892.1,0,0,0,1,0,0,0,0,0,0,1,0
AL354892.2,0,0,0,0,0,0,0,2,0,0,2,1
AL354892.3,0,0,0,0,0,3,0,0,0,0,20,5
AL354893.1,0,0,0,2,0,0,0,0,0,0,1,3
AL354893.2,3,0,0,0,0,0,0,0,2,0,3,0
AL354897.1,0,0,0,15,0,0,0,0,0,0,0,0
AL354897.2,0,0,0,4,0,0,0,0,0,0,0,0
AL354916.1,0,0,0,0,0,0,0,0,0,0,0,0
AL354919.1,0,0,0,2,0,0,0,2,0,0,0,0
AL354919.2,0,0,0,1,0,0,0,0,0,0,4,3
AL354920.1,0,1,0,8,53,15,0,24,61,0,27,31
AL354928.1,0,0,0,0,0,0,0,0,0,0,0,0
AL354936.1,0,0,0,12,20,64,0,0,0,0,8,0
AL354941.1,0,0,0,0,4,0,0,0,1,0,3,0
AL354943.1,0,0,0,15,22,0,0,0,0,0,4,0
AL354949.1,0,0,0,3,0,0,0,0,0,0,7,0
AL354950.1,0,0,0,1,0,0,0,0,10,0,9,9
AL354950.3,0,0,0,0,0,0,0,0,10,0,8,10
AL354953.1,0,0,1,1,0,0,0,2,0,0,0,0
AL354976.1,0,0,0,0,0,0,0,0,0,0,0,0
AL354977.1,0,0,0,3,1,15,0,0,3,0,1,0
AL354977.2,0,0,0,0,2,0,0,0,2,0,1,2
AL354979.1,0,0,0,0,0,0,0,0,0,0,0,0
AL354980.2,0,0,0,0,0,0,0,0,0,0,0,0
AL354983.1,0,0,0,0,0,0,0,0,0,0,0,0
AL354984.1,0,0,0,14,15,17,0,0,0,0,0,0
AL354984.2,0,0,0,2,0,0,0,0,0,0,0,0
AL354984.3,0,0,0,1,0,0,0,0,0,0,0,0
AL354989.1,0,0,0,0,25,1,0,0,1,0,0,3
AL354989.2,0,0,0,0,0,0,0,2,0,0,0,0
AL354993.1,0,0,0,11,0,7,0,0,0,0,8,1
AL354993.2,0,0,0,1,12,0,0,0,0,0,0,0
AL354994.1,0,0,0,0,0,0,0,0,0,0,0,0
AL355001.1,0,0,0,0,0,0,0,0,0,0,0,2
AL355001.2,7,1,1,6,0,1,0,17,33,0,3,23
AL355032.1,3,1,1,6,10,10,0,5,0,9,11,0
AL355053.1,10,0,0,10,0,5,0,0,0,0,0,1
AL355073.1,0,0,0,10,0,0,0,0,0,0,1,0
AL355073.2,0,0,0,18,0,0,0,0,0,0,5,0
AL355075.1,0,0,0,3,0,0,0,0,0,0,4,0
AL355075.2,0,0,0,2,0,16,0,0,2,0,19,8
AL355075.4,0,0,0,0,0,0,0,0,0,0,0,0
AL355075.5,0,0,0,0,0,0,0,0,0,0,0,0
AL355075.6,3,0,0,43,14,57,0,0,5,0,28,6
AL355076.1,0,0,0,0,0,0,0,0,0,0,0,0
AL355076.2,0,0,0,0,0,0,0,0,0,0,0,0
AL355076.3,0,0,0,0,0,0,0,0,0,0,0,0
AL355095.1,0,0,0,0,0,0,0,0,0,0,0,0
AL355096.1,0,0,0,0,0,0,0,0,0,0,0,0
AL355102.1,0,0,0,8,0,0,0,0,0,0,3,4
AL355102.2,0,0,0,0,0,0,0,0,0,0,1,4
AL355102.3,0,0,0,0,0,0,0,0,0,0,1,0
AL355102.4,0,0,0,0,0,0,0,0,0,0,2,13
AL355102.5,0,0,0,0,0,0,0,0,1,0,0,1
AL355103.1,0,0,0,0,17,0,0,0,0,0,0,0
AL355112.1,0,0,0,0,0,0,0,0,0,0,1,0
AL355149.1,0,0,0,0,0,1,0,0,0,0,0,0
AL355297.1,0,0,0,3,0,0,0,0,0,0,11,0
AL355297.2,0,0,0,0,0,0,0,0,3,0,0,1
AL355297.3,0,0,0,0,2,6,0,0,3,0,1,0
AL355298.1,0,0,0,0,0,0,0,0,0,0,0,0
AL355303.1,0,0,0,0,0,0,0,0,0,0,0,0
AL355303.2,0,0,0,0,0,0,0,0,0,0,0,1
AL355304.1,0,0,0,4,1,12,0,4,1,0,8,1
AL355306.2,0,0,0,2,0,0,0,0,0,0,0,0
AL355309.1,0,0,0,0,0,0,0,0,0,0,0,0
AL355312.1,0,0,0,0,42,0,0,0,13,0,5,7
AL355312.2,0,0,0,3,6,0,1,5,8,0,10,8
AL355312.3,0,0,0,0,0,1,0,0,0,0,1,0
AL355312.4,0,0,0,0,0,0,0,0,1,0,0,0
AL355312.5,0,0,1,9,0,0,0,0,0,0,2,0
AL355314.1,0,0,0,0,0,0,0,0,0,0,0,0
AL355314.2,0,0,0,0,0,0,0,0,0,0,0,0
AL355315.1,0,0,0,0,0,0,0,0,0,0,0,0
AL355333.1,0,0,0,0,0,0,0,0,0,0,0,0
AL355334.1,0,0,0,0,0,0,0,0,0,0,0,0
AL355334.2,0,0,0,2,0,0,0,3,5,0,3,3
AL355336.1,3,0,0,18,17,32,0,2,4,0,14,4
AL355337.1,0,0,0,2,23,14,0,0,0,0,4,0
AL355338.1,0,0,0,0,0,0,0,0,0,0,0,0
AL355347.1,0,0,0,5,25,0,0,0,0,0,0,0
AL355353.1,0,0,0,0,0,0,0,0,1,0,1,6
AL355355.1,0,0,0,0,1,2,0,1,0,0,4,2
AL355355.2,0,0,0,1,2,0,0,3,0,0,0,0
AL355357.1,0,0,0,9,0,0,0,0,0,0,0,0
AL355361.1,0,0,0,1,0,0,0,0,0,0,0,0
AL355365.1,0,0,0,0,0,0,0,1,4,0,3,2
AL355375.1,0,0,0,0,0,0,0,0,0,0,0,0
AL355375.2,0,0,0,0,0,0,0,0,0,0,0,0
AL355376.1,0,0,0,0,0,0,0,0,0,0,0,0
AL355376.2,0,0,0,0,0,0,0,0,0,0,0,0
AL355377.1,0,1,0,7,0,0,0,0,0,0,1,0
AL355377.2,0,0,0,0,0,0,0,2,0,0,1,1
AL355377.3,0,0,0,19,0,5,0,0,3,0,5,1
AL355377.4,0,0,0,7,0,2,0,0,2,0,4,1
AL355379.1,0,0,0,0,0,0,0,0,0,0,0,0
AL355385.1,0,0,0,0,0,0,0,2,0,0,2,1
AL355385.2,0,0,0,0,0,0,0,0,0,0,0,0
AL355388.1,4,0,2,42,23,0,2,9,10,0,21,8
AL355388.2,0,0,0,8,0,1,0,0,2,0,1,1
AL355390.1,0,0,0,0,0,0,0,0,0,0,0,0
AL355390.2,0,0,0,1,0,0,0,0,0,0,0,0
AL355432.1,0,0,0,3,1,13,0,0,0,0,1,2
AL355433.1,0,0,0,0,0,0,0,0,0,0,0,0
AL355472.1,0,0,0,0,0,0,0,0,0,0,1,0
AL355472.2,0,0,0,7,0,0,0,0,0,0,3,0
AL355472.3,0,0,0,2,12,0,0,0,0,0,0,0
AL355474.1,0,0,0,0,0,0,0,0,0,0,2,0
AL355480.1,0,0,0,0,0,0,0,0,0,0,0,0
AL355480.2,0,0,0,0,0,0,0,0,0,0,0,0
AL355480.3,0,0,0,0,0,0,0,0,0,0,1,0
AL355480.4,0,0,0,0,0,0,0,0,0,0,0,0
AL355481.1,0,0,0,12,0,0,0,0,0,0,0,0
AL355482.1,0,0,0,26,0,11,0,0,0,0,0,0
AL355482.2,0,0,0,5,0,0,0,0,0,0,0,0
AL355483.1,0,0,0,1,0,3,0,0,1,0,0,0
AL355483.2,0,0,0,0,3,0,0,0,0,0,0,0
AL355488.1,2,0,0,38,44,105,1,11,47,0,62,48
AL355490.1,0,0,0,0,0,0,0,0,1,0,0,0
AL355490.2,0,0,0,0,0,0,0,0,0,0,1,1
AL355493.1,0,0,0,0,0,0,0,0,0,0,0,0
AL355493.3,0,0,0,11,0,0,0,0,0,0,0,0
AL355497.1,0,0,0,0,0,0,0,0,0,0,0,0
AL355497.2,0,0,0,0,0,0,0,0,0,0,0,0
AL355497.3,0,0,0,0,0,0,0,0,0,0,0,0
AL355499.1,0,0,0,5,0,0,0,0,0,0,0,0
AL355499.2,0,0,0,0,0,0,0,0,0,0,0,0
AL355501.1,0,0,0,0,12,0,0,0,0,0,1,0
AL355512.1,3,0,0,0,0,0,0,0,1,37,2,0
AL355516.1,0,0,0,0,0,0,0,0,0,0,0,0
AL355526.1,0,0,0,0,0,0,0,0,0,0,0,0
AL355526.2,0,0,0,0,0,0,0,0,0,0,0,0
AL355531.1,0,0,0,1,11,0,0,0,0,0,13,2
AL355537.2,0,0,0,0,0,0,0,0,0,0,0,0
AL355538.2,0,0,0,0,18,0,0,0,0,0,0,0
AL355574.1,0,0,0,23,12,0,0,2,10,0,20,13
AL355578.1,0,0,0,0,15,0,0,0,0,0,0,0
AL355581.1,0,0,0,10,0,0,0,0,1,0,10,25
AL355592.1,0,0,0,2,0,0,0,0,0,0,0,0
AL355596.1,18,3,0,4,0,0,0,3,0,0,0,0
AL355596.2,0,0,0,0,0,0,0,0,0,0,0,0
AL355597.1,0,0,0,3,0,0,0,0,0,0,0,0
AL355598.1,3,1,0,0,0,0,0,0,0,0,1,0
AL355598.2,0,0,0,0,0,0,0,0,0,0,0,0
AL355601.1,0,0,0,0,0,0,0,0,0,0,0,0
AL355602.1,0,0,0,4,0,0,0,0,0,0,0,0
AL355607.1,0,0,0,0,0,0,0,0,0,0,0,0
AL355607.2,0,0,0,14,35,0,0,0,6,0,24,12
AL355612.1,0,0,0,6,0,4,0,0,0,0,19,0
AL355613.1,0,0,0,0,0,6,0,0,0,0,2,0
AL355615.1,0,0,0,2,1,0,0,0,0,0,0,0
AL355672.1,0,0,0,4,0,0,0,0,0,0,0,0
AL355674.1,0,0,0,0,21,0,0,0,0,0,0,0
AL355677.1,0,0,0,5,0,0,0,0,0,0,0,0
AL355773.1,0,0,0,1,0,0,0,0,0,0,0,0
AL355796.1,0,0,0,0,0,4,0,0,0,0,0,0
AL355798.1,0,0,0,0,1,0,0,0,0,0,0,0
AL355802.1,1,0,0,0,0,2,0,0,4,0,8,2
AL355802.2,0,0,0,0,0,0,0,0,0,0,0,0
AL355802.3,0,0,0,2,0,0,0,0,1,0,3,0
AL355803.1,0,0,0,0,0,0,0,0,0,0,0,0
AL355810.1,0,0,0,0,0,0,0,0,2,0,0,0
AL355812.1,0,0,0,0,0,0,0,0,0,0,0,0
AL355834.1,0,0,0,5,21,0,0,0,0,0,0,0
AL355834.2,0,0,0,1,17,0,0,1,0,0,3,0
AL355835.1,0,0,0,0,0,0,0,0,0,0,0,0
AL355836.1,0,0,0,0,0,0,0,0,0,0,0,0
AL355836.2,0,0,0,0,0,0,0,0,0,0,0,0
AL355836.3,0,0,0,0,0,0,0,0,0,0,0,0
AL355836.4,0,0,0,1,0,21,0,0,0,0,0,0
AL355836.5,0,0,0,0,0,0,0,0,0,0,0,0
AL355838.1,0,0,0,6,7,0,0,0,0,0,0,0
AL355852.1,0,0,0,1,0,0,0,0,3,0,2,0
AL355862.1,0,0,0,0,0,0,0,0,0,0,0,0
AL355863.1,0,0,0,0,0,0,0,0,0,0,0,0
AL355864.1,0,0,0,0,0,0,0,0,1,0,0,0
AL355864.2,0,0,0,0,7,9,0,0,3,0,6,1
AL355870.1,0,0,0,0,3,0,0,0,0,0,0,0
AL355870.2,0,0,0,4,0,0,0,0,0,0,0,0
AL355877.1,7,0,0,0,14,0,0,0,0,0,3,0
AL355877.2,0,0,0,0,0,0,0,0,0,0,0,0
AL355881.1,0,0,0,1,0,0,0,0,0,0,0,0
AL355916.1,8,0,2,110,31,77,0,48,7,104,27,33
AL355916.2,0,0,0,0,0,0,0,1,1,0,1,6
AL355922.1,0,0,0,0,5,0,0,0,0,0,0,0
AL355922.2,2,0,0,0,0,0,0,0,0,0,0,0
AL355922.3,0,0,0,0,0,0,0,0,0,0,0,0
AL355922.4,0,0,0,0,0,0,0,0,0,0,2,0
AL355974.1,0,0,0,10,0,0,0,0,0,0,0,0
AL355974.2,0,0,0,4,0,0,0,0,0,0,0,0
AL355981.1,0,0,0,1,0,0,0,0,0,0,0,0
AL355987.3,0,0,0,0,0,0,0,0,9,0,0,0
AL355987.4,0,0,0,11,33,34,0,2,4,0,14,3
AL355987.5,0,0,0,8,0,0,0,0,0,0,0,0
AL355989.1,0,0,0,0,0,0,0,0,0,0,0,0
AL355990.1,0,0,0,0,0,0,0,0,0,0,0,0
AL355990.2,0,0,0,0,0,0,0,0,0,0,0,0
AL355994.1,0,0,0,0,0,0,0,0,0,0,0,0
AL355994.2,0,0,0,0,0,0,0,0,0,0,0,0
AL355994.4,0,0,0,0,0,0,0,0,0,0,0,1
AL355994.5,0,0,0,0,0,0,0,0,0,0,0,0
AL355997.1,0,0,0,3,0,0,0,0,0,1,0,0
AL355999.1,4,0,0,0,0,0,0,0,2,0,5,3
AL356000.1,0,0,0,1,0,0,0,0,0,0,1,2
AL356010.2,0,0,0,1,0,1,0,0,0,0,1,1
AL356019.1,0,0,0,0,0,0,0,0,0,0,4,0
AL356019.2,0,0,0,24,16,14,1,11,48,0,17,37
AL356020.1,2,4,2,2,0,0,0,0,0,0,0,0
AL356022.1,0,0,0,2,0,0,0,0,0,0,0,0
AL356052.1,0,0,0,0,0,0,0,0,0,0,0,0
AL356056.1,0,0,0,0,0,0,0,0,0,0,0,0
AL356056.2,0,0,0,1,16,4,0,8,28,0,28,16
AL356057.1,0,0,0,7,13,0,0,1,1,0,5,1
AL356072.1,0,0,0,0,0,0,0,0,0,0,0,0
AL356094.1,0,0,0,7,0,0,0,0,0,0,0,0
AL356094.2,0,0,0,0,0,0,0,0,0,0,0,0
AL356095.1,0,0,0,0,5,0,0,0,0,0,0,0
AL356102.1,0,0,0,0,0,0,0,0,0,0,0,0
AL356108.1,0,0,0,7,0,16,0,0,0,0,5,1
AL356113.1,0,0,0,4,4,0,0,0,0,0,2,0
AL356118.1,0,0,0,0,0,0,0,0,0,0,0,0
AL356121.1,0,0,0,0,0,0,0,0,0,0,1,0
AL356121.2,0,0,0,4,0,0,0,0,0,0,0,0
AL356123.1,0,0,0,0,0,0,0,0,0,0,0,0
AL356123.2,0,0,0,0,0,0,0,0,0,0,0,0
AL356124.1,3,3,3,76,43,94,0,10,3,29,39,4
AL356124.2,0,0,0,1,0,0,0,0,0,0,0,0
AL356130.1,0,0,0,0,0,0,0,0,0,0,0,0
AL356133.1,0,0,0,2,0,0,0,0,2,0,0,0
AL356134.1,0,0,0,0,0,0,0,0,0,0,0,0
AL356157.1,0,0,0,0,0,0,0,0,0,0,0,0
AL356157.2,0,0,0,0,0,0,0,0,0,0,0,0
AL356157.3,0,0,0,0,0,0,0,0,0,0,0,0
AL356215.1,0,0,0,15,2,0,0,2,2,0,1,0
AL356218.1,0,0,0,0,0,0,0,0,0,0,0,0
AL356218.2,0,0,0,0,0,0,0,0,15,0,0,0
AL356234.1,0,0,0,9,0,1,0,0,0,0,1,0
AL356234.2,0,0,0,1,0,0,0,0,0,0,0,0
AL356234.3,0,0,0,0,13,0,0,0,0,0,0,0
AL356235.1,0,0,0,0,0,0,0,4,3,0,14,5
AL356259.1,0,0,0,4,0,0,0,0,0,0,0,0
AL356266.1,0,0,0,0,0,0,0,0,0,0,0,0
AL356273.1,0,0,0,4,0,19,0,0,0,0,2,0
AL356273.2,0,0,0,12,4,0,0,0,0,0,13,2
AL356273.3,0,0,0,46,14,41,0,0,5,0,59,3
AL356274.1,7,0,0,0,28,0,0,0,0,0,0,0
AL356274.2,0,0,0,24,12,0,0,3,0,0,2,0
AL356275.1,0,0,0,0,0,0,0,1,0,0,0,0
AL356276.1,0,0,0,0,0,0,0,0,0,0,0,0
AL356276.2,0,0,0,3,0,0,0,0,0,0,0,1
AL356277.1,0,0,0,0,0,0,0,0,0,0,0,0
AL356277.2,0,0,0,0,0,0,0,0,0,0,0,0
AL356277.3,0,0,0,7,12,0,0,0,0,0,5,0
AL356280.1,0,0,0,0,0,0,0,0,0,0,0,0
AL356289.1,0,0,0,0,0,0,0,0,0,0,0,0
AL356289.2,0,0,0,6,22,4,0,0,0,0,0,0
AL356292.1,0,0,0,0,0,0,0,0,0,0,0,0
AL356295.1,0,0,0,9,0,0,0,0,0,0,0,0
AL356299.1,0,0,0,0,0,0,0,0,0,0,0,0
AL356299.2,0,0,0,6,4,0,0,0,0,0,0,1
AL356309.1,0,0,0,2,0,0,0,0,0,0,0,0
AL356309.2,0,0,0,0,7,0,0,0,0,0,0,0
AL356309.3,0,0,0,14,22,27,0,0,0,0,0,0
AL356310.1,0,0,0,0,0,0,0,0,0,0,0,0
AL356311.1,0,0,0,0,0,0,0,0,0,0,1,0
AL356313.1,0,0,0,5,0,0,0,0,0,0,0,0
AL356317.1,0,0,0,0,0,0,0,0,0,0,1,0
AL356317.2,7,0,0,0,0,0,0,0,0,0,0,0
AL356320.1,0,0,0,1,8,0,0,0,0,0,8,0
AL356320.2,0,0,0,0,0,0,0,0,0,0,13,0
AL356321.1,0,0,0,0,0,0,0,0,0,0,0,0
AL356356.1,0,0,0,0,3,0,0,0,0,0,1,0
AL356361.1,0,0,0,0,0,0,0,0,0,0,0,0
AL356361.2,0,0,0,0,0,0,0,0,0,0,0,0
AL356361.3,0,0,0,1,0,0,0,0,0,0,0,0
AL356364.1,0,0,0,0,0,0,0,0,0,0,0,0
AL356379.1,0,0,0,0,0,0,0,0,0,0,0,0
AL356379.2,0,0,0,0,0,0,0,0,0,0,0,0
AL356387.1,0,0,0,0,0,0,0,0,0,0,0,0
AL356390.1,0,0,0,0,0,1,0,0,0,0,0,0
AL356413.1,0,0,0,0,0,0,0,0,0,0,0,0
AL356414.1,0,0,0,0,0,0,0,2,0,0,0,3
AL356417.1,0,0,0,0,0,0,0,0,0,0,0,0
AL356417.2,0,0,0,11,13,0,0,2,1,0,32,3
AL356417.3,0,0,0,7,0,0,0,0,0,0,0,0
AL356419.1,0,0,0,0,0,0,0,0,0,0,2,0
AL356421.1,0,0,0,0,0,0,0,0,0,0,0,0
AL356421.2,0,0,0,0,0,10,0,0,0,0,0,0
AL356423.1,0,0,0,7,0,0,0,0,0,0,2,0
AL356432.1,0,0,0,1,0,0,0,0,0,0,0,0
AL356432.2,0,0,0,0,0,0,0,0,0,0,0,0
AL356432.3,0,0,0,1,0,0,0,0,0,0,0,0
AL356433.1,0,0,0,4,0,12,0,0,0,0,0,0
AL356441.1,0,0,0,3,0,0,0,3,0,0,0,0
AL356441.2,0,0,0,5,0,0,0,0,0,0,0,0
AL356458.1,0,0,0,0,0,0,0,0,0,0,0,0
AL356473.1,0,0,0,0,0,0,0,0,0,0,1,0
AL356475.1,0,0,0,12,0,0,0,0,0,0,2,0
AL356481.1,18,0,1,5,15,0,1,6,10,0,21,10
AL356481.2,0,0,0,0,0,0,0,0,1,0,2,3
AL356481.3,0,0,0,6,9,0,0,0,1,0,4,3
AL356488.1,0,0,0,0,8,7,0,0,1,0,0,0
AL356488.2,0,0,0,0,0,0,0,1,0,0,0,0
AL356488.3,3,1,1,16,0,1,0,5,28,0,19,37
AL356489.1,0,0,0,4,0,0,0,0,0,0,0,0
AL356489.2,0,0,0,15,23,1,0,0,114,0,55,30
AL356489.3,0,0,0,0,7,0,0,0,7,0,3,7
AL356489.4,0,0,0,0,0,0,0,0,0,0,0,0
AL356490.1,0,0,0,0,0,0,0,0,0,0,0,0
AL356495.1,0,0,0,7,20,0,0,0,2,0,7,2
AL356498.1,0,0,0,0,0,0,0,0,0,0,0,0
AL356512.1,0,4,0,5,0,0,0,0,9,0,2,7
AL356515.1,14,0,0,4,1,0,0,0,0,0,5,0
AL356534.1,0,0,0,54,42,22,0,2,6,27,36,3
AL356535.1,1,0,0,0,1,12,0,0,0,1,4,0
AL356575.1,0,0,0,0,3,0,0,0,0,0,1,0
AL356580.1,0,0,0,0,0,0,0,0,0,0,0,0
AL356583.1,0,0,0,0,0,0,0,0,0,0,0,0
AL356583.2,0,0,0,0,0,0,0,1,0,0,0,0
AL356583.3,0,0,0,0,0,0,0,0,0,0,0,0
AL356585.1,0,0,0,0,2,0,0,0,0,0,0,0
AL356585.10,0,0,0,0,0,0,0,0,0,0,0,0
AL356585.2,0,0,0,0,0,0,0,0,0,0,0,0
AL356585.3,0,0,0,0,0,0,0,0,0,0,0,0
AL356585.4,0,0,0,0,0,0,0,0,0,0,1,0
AL356596.1,0,0,0,0,0,0,0,0,0,0,0,0
AL356608.1,0,0,0,0,0,21,0,0,0,0,1,0
AL356608.2,0,0,0,0,0,0,0,0,0,0,0,0
AL356608.3,0,0,0,0,0,0,0,0,0,0,2,0
AL356652.1,0,0,0,0,0,0,0,0,2,0,0,1
AL356653.1,0,0,0,0,3,3,0,3,1,0,0,0
AL356737.1,0,0,0,0,0,0,0,0,0,0,0,0
AL356737.2,0,0,0,4,0,0,0,0,0,0,0,0
AL356740.1,0,0,0,0,0,0,0,0,0,0,0,0
AL356740.2,0,0,0,0,0,0,0,0,0,0,0,0
AL356740.3,0,0,0,0,0,0,0,0,0,0,0,0
AL356747.1,0,0,0,3,0,0,0,0,0,0,0,0
AL356750.1,0,0,0,0,14,0,0,1,2,0,0,0
AL356752.1,0,0,0,0,2,0,0,0,0,0,1,2
AL356753.1,0,0,0,0,0,0,0,0,0,0,0,0
AL356754.1,0,0,0,0,0,0,0,0,0,0,0,0
AL356756.1,0,0,0,2,8,0,0,0,0,0,6,0
AL356776.1,0,0,0,1,27,13,0,0,1,0,18,0
AL356776.2,9,0,0,0,0,8,0,6,9,0,4,16
AL356785.1,0,0,0,0,7,0,0,0,0,0,0,0
AL356800.1,0,0,0,0,0,0,0,0,0,0,0,0
AL356801.1,0,0,0,5,2,0,0,0,4,0,25,4
AL356804.1,0,0,0,2,0,0,0,1,0,0,1,0
AL356805.1,0,0,0,0,8,0,0,0,0,0,4,0
AL356806.1,0,0,0,0,0,0,0,0,0,0,1,0
AL356807.1,0,0,0,0,0,0,0,0,0,0,0,0
AL356859.1,0,0,0,0,0,0,0,0,0,0,0,0
AL356863.1,0,0,0,7,0,0,0,0,0,0,0,0
AL356867.1,0,0,0,0,0,0,0,0,0,0,0,0
