genename,Test_Os1,Test_Os2,Test_Os3,Test_Ch1,Test_Ch2,Test_Ch3,Test_Ad1,Test_Ad2,Test_Ad3,Test_MSC1,Test_MSC2,Test_MSC3
ABCF2-H2BE1,0,0,0,0,0,0,0,0,1,0,0,0
ABCF2P1,0,0,0,0,21,0,0,1,0,0,0,0
ABCF2P2,0,0,0,0,0,0,0,0,0,0,0,0
ABCF3,47,0,4,242,436,391,0,97,742,107,507,765
ABCG1,0,0,0,11,3,0,0,0,0,1,3,3
ABCG2,0,0,0,4,6,3,0,0,2,0,10,9
ABCG4,0,0,0,0,16,0,0,2,7,0,1,2
ABCG5,0,0,0,5,0,0,0,0,0,0,2,0
ABCG8,0,0,0,9,10,1,0,0,0,0,1,0
ABHD1,0,0,0,15,1,12,0,1,3,0,9,2
ABHD10,5,0,3,432,449,349,2,220,417,68,721,370
ABHD11,16,2,0,17,49,79,2,26,84,22,38,90
ABHD11-AS1,12,2,1,0,0,0,0,10,1,0,0,0
ABHD12,43,10,3,222,228,505,1,113,612,117,378,560
ABHD12B,0,0,0,18,44,0,0,0,7,0,20,1
ABHD13,62,0,2,353,480,577,9,248,348,119,684,261
ABHD14A,0,0,1,26,30,37,0,15,84,0,45,72
ABHD14A-ACY1,0,0,0,0,0,2,0,3,1,0,1,0
ABHD14B,163,18,20,148,193,402,21,425,1255,113,369,845
ABHD15,30,0,0,58,61,175,6,210,898,14,137,216
ABHD15-AS1,0,0,0,0,0,0,0,0,0,0,0,0
ABHD16A,0,0,1,14,11,0,0,8,40,46,17,42
ABHD17A,61,4,6,137,232,260,15,303,1035,78,192,1306
ABHD17AP1,0,0,0,1,0,0,0,0,4,0,1,6
ABHD17AP3,0,0,0,0,0,0,0,0,2,0,0,0
ABHD17AP4,0,0,0,0,0,0,0,0,0,0,0,0
ABHD17AP5,0,0,0,0,0,3,0,0,1,0,0,0
ABHD17AP6,0,0,0,0,0,0,0,0,0,0,0,0
